,datetime,open,high,low,close,volume,adj_close
2020-01-01 00:00:00,1577829600000,128.88,129.41,128.5,129.05,5937.2345,129.05
2020-01-01 01:00:00,1577833200000,129.05,129.46,128.84,129.16,2981.11523,129.16
2020-01-01 02:00:00,1577836800000,129.16,129.19,128.68,128.87,7769.17336,128.87
2020-01-01 03:00:00,1577840400000,128.87,130.65,128.78,130.64,11344.65516,130.64
2020-01-01 04:00:00,1577844000000,130.63,130.98,130.35,130.85,7603.35623,130.85
2020-01-01 05:00:00,1577847600000,130.85,130.89,129.94,130.2,4968.55433,130.2
2020-01-01 06:00:00,1577851200000,130.21,130.74,130.15,130.2,3397.90747,130.2
2020-01-01 07:00:00,1577854800000,130.2,130.47,130.11,130.3,4243.6064,130.3
2020-01-01 08:00:00,1577858400000,130.31,130.75,130.26,130.44,3668.90166,130.44
2020-01-01 09:00:00,1577862000000,130.47,130.71,130.14,130.24,4147.17413,130.24
2020-01-01 10:00:00,1577865600000,130.24,130.41,129.87,130.36,7541.44497,130.36
2020-01-01 11:00:00,1577869200000,130.4,130.62,130.13,130.17,4808.20496,130.17
2020-01-01 12:00:00,1577872800000,130.17,130.82,130.07,130.7,4625.5017,130.7
2020-01-01 13:00:00,1577876400000,130.67,131.87,130.6,130.74,10847.79032,130.74
2020-01-01 14:00:00,1577880000000,130.74,131.61,130.7,131.61,4163.30667,131.61
2020-01-01 15:00:00,1577883600000,131.6,131.9,131.28,131.68,7160.65302,131.68
2020-01-01 16:00:00,1577887200000,131.66,132.37,131.24,131.96,7325.25762,131.96
2020-01-01 17:00:00,1577890800000,131.95,132.4,131.6,132.08,5361.06926,132.08
2020-01-01 18:00:00,1577894400000,132.08,132.95,131.78,132.85,6915.20906,132.85
2020-01-01 19:00:00,1577898000000,132.86,133.05,132.27,132.34,5424.00732,132.34
2020-01-01 20:00:00,1577901600000,132.34,132.46,131.57,132.04,5707.7934,132.04
2020-01-01 21:00:00,1577905200000,132.04,132.16,131.62,131.86,2111.21443,131.86
2020-01-01 22:00:00,1577908800000,131.86,132.25,131.7,132.18,2014.79285,132.18
2020-01-01 23:00:00,1577912400000,132.17,132.37,131.68,131.78,4879.42025,131.78
2020-01-02 00:00:00,1577916000000,131.82,131.82,129.9,130.27,14876.06749,130.27
2020-01-02 01:00:00,1577919600000,130.28,130.87,129.74,130.77,3865.45991,130.77
2020-01-02 02:00:00,1577923200000,130.72,130.78,130.27,130.67,3772.6667,130.67
2020-01-02 03:00:00,1577926800000,130.66,130.67,130.12,130.15,3684.51912,130.15
2020-01-02 04:00:00,1577930400000,130.14,130.16,128.89,129.72,19078.42209,129.72
2020-01-02 05:00:00,1577934000000,129.71,129.71,128.77,129.1,11950.18634,129.1
2020-01-02 06:00:00,1577937600000,129.09,129.87,128.69,129.55,8931.67759,129.55
2020-01-02 07:00:00,1577941200000,129.57,129.75,129.3,129.63,7276.74256,129.63
2020-01-02 08:00:00,1577944800000,129.6,129.99,129.15,129.42,4823.43405,129.42
2020-01-02 09:00:00,1577948400000,129.43,129.67,128.96,129.26,6548.36046,129.26
2020-01-02 10:00:00,1577952000000,129.23,130.27,129.21,130.21,7205.6708,130.21
2020-01-02 11:00:00,1577955600000,130.21,130.21,129.57,129.98,5828.65169,129.98
2020-01-02 12:00:00,1577959200000,129.97,130.28,129.66,129.72,8014.34789,129.72
2020-01-02 13:00:00,1577962800000,129.73,129.94,129.44,129.53,4293.24985,129.53
2020-01-02 14:00:00,1577966400000,129.52,129.99,129.52,129.96,3718.46074,129.96
2020-01-02 15:00:00,1577970000000,129.97,130.01,128.9,129.35,8547.00635,129.35
2020-01-02 16:00:00,1577973600000,129.34,129.86,129.21,129.37,5538.92471,129.37
2020-01-02 17:00:00,1577977200000,129.37,129.8,129.36,129.59,5352.62034,129.59
2020-01-02 18:00:00,1577980800000,129.58,129.78,126.94,127.6,32996.89479,127.6
2020-01-02 19:00:00,1577984400000,127.6,127.68,126.38,127.4,40429.91193,127.4
2020-01-02 20:00:00,1577988000000,127.42,127.75,127.13,127.49,7360.65888,127.49
2020-01-02 21:00:00,1577991600000,127.49,127.67,127.08,127.62,4747.08642,127.62
2020-01-02 22:00:00,1577995200000,127.63,127.64,126.79,127.16,5796.42079,127.16
2020-01-02 23:00:00,1577998800000,127.16,127.87,127.15,127.72,2225.95265,127.72
2020-01-03 00:00:00,1578002400000,127.72,127.76,127.24,127.39,2654.51024,127.39
2020-01-03 01:00:00,1578006000000,127.39,127.48,126.91,127.19,2980.68108,127.19
2020-01-03 02:00:00,1578009600000,127.19,127.6,126.82,127.07,7303.34389,127.07
2020-01-03 03:00:00,1578013200000,127.07,127.17,125.88,126.04,12202.68649,126.04
2020-01-03 04:00:00,1578016800000,126.04,127.08,125.9,126.92,14356.43191,126.92
2020-01-03 05:00:00,1578020400000,126.94,127.11,126.65,126.89,6279.7682,126.89
2020-01-03 06:00:00,1578024000000,126.89,130.15,126.83,129.3,47219.15382,129.3
2020-01-03 07:00:00,1578027600000,129.23,129.97,128.76,129.21,13556.58641,129.21
2020-01-03 08:00:00,1578031200000,129.24,129.35,128.76,129.17,9731.33188,129.17
2020-01-03 09:00:00,1578034800000,129.18,129.53,128.72,128.86,16992.05519,128.86
2020-01-03 10:00:00,1578038400000,128.86,133.26,128.8,132.15,74641.9522,132.15
2020-01-03 11:00:00,1578042000000,132.2,132.87,131.71,132.35,26464.25904,132.35
2020-01-03 12:00:00,1578045600000,132.36,132.72,131.58,132.04,10333.20316,132.04
2020-01-03 13:00:00,1578049200000,132.03,132.63,131.92,132.46,6848.31903,132.46
2020-01-03 14:00:00,1578052800000,132.49,132.83,131.85,132.23,13842.74842,132.23
2020-01-03 15:00:00,1578056400000,132.23,133.95,132.23,133.54,14278.62513,133.54
2020-01-03 16:00:00,1578060000000,133.51,133.85,130.93,131.68,22358.209,131.68
2020-01-03 17:00:00,1578063600000,131.68,132.57,131.59,132.53,7514.12682,132.53
2020-01-03 18:00:00,1578067200000,132.52,133.75,131.94,133.51,23716.09017,133.51
2020-01-03 19:00:00,1578070800000,133.44,134.9,132.66,133.97,23183.54673,133.97
2020-01-03 20:00:00,1578074400000,134.0,134.22,133.24,133.5,9525.09437,133.5
2020-01-03 21:00:00,1578078000000,133.5,133.59,132.21,133.49,13761.61369,133.49
2020-01-03 22:00:00,1578081600000,133.48,134.05,133.01,133.45,8673.15909,133.45
2020-01-03 23:00:00,1578085200000,133.48,133.93,132.29,132.5,8141.62621,132.5
2020-01-04 00:00:00,1578088800000,132.45,133.37,132.16,133.04,6493.87391,133.04
2020-01-04 01:00:00,1578092400000,133.04,135.14,132.9,134.35,15637.38419,134.35
2020-01-04 02:00:00,1578096000000,134.37,134.81,133.44,133.7,11609.95948,133.7
2020-01-04 03:00:00,1578099600000,133.71,133.71,132.79,133.01,7514.41101,133.01
2020-01-04 04:00:00,1578103200000,133.01,133.48,132.8,133.47,5970.26181,133.47
2020-01-04 05:00:00,1578106800000,133.47,133.54,133.18,133.34,4705.93094,133.34
2020-01-04 06:00:00,1578110400000,133.34,133.91,133.0,133.67,8118.69367,133.67
2020-01-04 07:00:00,1578114000000,133.68,134.11,133.4,133.66,5335.12784,133.66
2020-01-04 08:00:00,1578117600000,133.67,134.25,133.62,133.95,4892.57246,133.95
2020-01-04 09:00:00,1578121200000,133.92,134.31,133.41,133.91,6023.01492,133.91
2020-01-04 10:00:00,1578124800000,133.9,134.14,133.52,133.6,3244.59618,133.6
2020-01-04 11:00:00,1578128400000,133.61,134.15,133.41,134.13,6704.48768,134.13
2020-01-04 12:00:00,1578132000000,134.11,134.18,133.24,133.4,7592.59385,133.4
2020-01-04 13:00:00,1578135600000,133.4,133.82,133.07,133.77,6376.83156,133.77
2020-01-04 14:00:00,1578139200000,133.76,133.79,132.5,132.79,7795.94074,132.79
2020-01-04 15:00:00,1578142800000,132.81,133.25,132.59,132.9,8563.05035,132.9
2020-01-04 16:00:00,1578146400000,132.9,133.33,132.83,133.06,6020.55767,133.06
2020-01-04 17:00:00,1578150000000,133.06,133.66,132.94,133.26,6858.1761,133.26
2020-01-04 18:00:00,1578153600000,133.26,133.48,132.96,133.09,5885.12486,133.09
2020-01-04 19:00:00,1578157200000,133.12,134.86,133.04,134.6,13659.98877,134.6
2020-01-04 20:00:00,1578160800000,134.6,135.85,132.8,133.51,29686.80575,133.51
2020-01-04 21:00:00,1578164400000,133.5,134.27,133.07,133.72,10640.63681,133.72
2020-01-04 22:00:00,1578168000000,133.71,134.2,133.44,134.08,5274.03807,134.08
2020-01-04 23:00:00,1578171600000,134.09,134.54,133.68,134.12,6182.56587,134.12
2020-01-05 00:00:00,1578175200000,134.11,134.37,133.8,134.1,2829.43607,134.1
2020-01-05 01:00:00,1578178800000,134.14,134.4,133.77,134.2,2791.36856,134.2
2020-01-05 02:00:00,1578182400000,134.2,135.24,134.19,134.76,11892.25333,134.76
2020-01-05 03:00:00,1578186000000,134.76,135.83,134.71,135.65,17758.63532,135.65
2020-01-05 04:00:00,1578189600000,135.64,136.0,135.15,135.46,8724.85945,135.46
2020-01-05 05:00:00,1578193200000,135.47,136.2,135.45,136.16,10456.05953,136.16
2020-01-05 06:00:00,1578196800000,136.17,137.24,135.62,135.91,21424.0596,135.91
2020-01-05 07:00:00,1578200400000,135.91,136.45,135.64,136.19,6916.99731,136.19
2020-01-05 08:00:00,1578204000000,136.17,136.59,135.86,136.11,5316.16735,136.11
2020-01-05 09:00:00,1578207600000,136.1,136.31,135.82,136.02,3628.84145,136.02
2020-01-05 10:00:00,1578211200000,136.04,136.24,135.0,135.38,7865.26322,135.38
2020-01-05 11:00:00,1578214800000,135.42,135.62,134.94,135.32,8754.17141,135.32
2020-01-05 12:00:00,1578218400000,135.32,135.49,134.7,134.88,8272.3728,134.88
2020-01-05 13:00:00,1578222000000,134.88,135.37,134.77,135.07,8530.27964,135.07
2020-01-05 14:00:00,1578225600000,135.06,135.97,135.06,135.91,6019.08852,135.91
2020-01-05 15:00:00,1578229200000,135.95,135.95,135.24,135.6,4724.5751,135.6
2020-01-05 16:00:00,1578232800000,135.61,135.94,135.51,135.58,4658.82586,135.58
2020-01-05 17:00:00,1578236400000,135.57,137.96,135.51,137.26,26839.73945,137.26
2020-01-05 18:00:00,1578240000000,137.24,138.16,136.64,137.16,19498.64267,137.16
2020-01-05 19:00:00,1578243600000,137.12,138.19,136.77,137.8,9651.65614,137.8
2020-01-05 20:00:00,1578247200000,137.8,138.04,136.89,137.79,10517.28965,137.79
2020-01-05 21:00:00,1578250800000,137.8,138.0,137.36,137.97,5636.7562,137.97
2020-01-05 22:00:00,1578254400000,137.97,138.06,137.45,137.85,4709.67526,137.85
2020-01-05 23:00:00,1578258000000,137.85,137.86,135.0,135.37,22064.65358,135.37
2020-01-06 00:00:00,1578261600000,135.37,135.94,134.33,135.04,10623.54302,135.04
2020-01-06 01:00:00,1578265200000,135.03,135.48,134.21,135.37,9636.04757,135.37
2020-01-06 02:00:00,1578268800000,135.37,135.74,134.86,135.65,5948.6197,135.65
2020-01-06 03:00:00,1578272400000,135.69,137.58,135.39,137.22,13306.26406,137.22
2020-01-06 04:00:00,1578276000000,137.21,139.53,137.17,139.15,39940.77815,139.15
2020-01-06 05:00:00,1578279600000,139.13,139.67,138.27,139.49,22249.59753,139.49
2020-01-06 06:00:00,1578283200000,139.49,140.0,139.07,139.42,12831.63843,139.42
2020-01-06 07:00:00,1578286800000,139.4,139.6,138.54,139.16,6570.29396,139.16
2020-01-06 08:00:00,1578290400000,139.16,139.29,138.83,138.9,5477.49784,138.9
2020-01-06 09:00:00,1578294000000,138.93,139.16,138.78,138.87,7014.90545,138.87
2020-01-06 10:00:00,1578297600000,138.87,140.86,138.81,140.65,22173.50521,140.65
2020-01-06 11:00:00,1578301200000,140.54,140.86,139.75,140.83,15646.11827,140.83
2020-01-06 12:00:00,1578304800000,140.84,142.56,140.58,141.97,24296.74144,141.97
2020-01-06 13:00:00,1578308400000,141.98,143.06,140.84,141.54,24949.02496,141.54
2020-01-06 14:00:00,1578312000000,141.54,142.67,141.44,142.3,16279.87263,142.3
2020-01-06 15:00:00,1578315600000,142.3,143.22,139.08,140.24,44834.70568,140.24
2020-01-06 16:00:00,1578319200000,140.23,141.53,139.65,141.11,25738.22786,141.11
2020-01-06 17:00:00,1578322800000,141.11,141.44,140.1,140.2,15072.65783,140.2
2020-01-06 18:00:00,1578326400000,140.19,141.42,140.0,140.68,13978.12653,140.68
2020-01-06 19:00:00,1578330000000,140.67,141.85,140.54,141.81,10471.59008,141.81
2020-01-06 20:00:00,1578333600000,141.81,141.86,140.68,141.09,6346.02409,141.09
2020-01-06 21:00:00,1578337200000,141.06,141.6,140.86,141.35,4744.31111,141.35
2020-01-06 22:00:00,1578340800000,141.35,142.45,141.26,142.17,7905.69914,142.17
2020-01-06 23:00:00,1578344400000,142.17,142.56,141.51,141.67,9432.1885,141.67
2020-01-07 00:00:00,1578348000000,141.69,143.65,141.51,143.05,24253.04579,143.05
2020-01-07 01:00:00,1578351600000,143.05,144.41,142.52,144.15,28558.83951,144.15
2020-01-07 02:00:00,1578355200000,144.14,145.31,143.16,143.77,47783.52094,143.77
2020-01-07 03:00:00,1578358800000,143.76,144.16,143.36,143.83,14921.4287,143.83
2020-01-07 04:00:00,1578362400000,143.85,144.88,143.82,143.98,14591.56948,143.98
2020-01-07 05:00:00,1578366000000,143.97,144.41,143.48,143.5,7255.17955,143.5
2020-01-07 06:00:00,1578369600000,143.5,143.62,142.15,142.49,15652.73032,142.49
2020-01-07 07:00:00,1578373200000,142.48,143.12,142.18,142.97,9474.7473,142.97
2020-01-07 08:00:00,1578376800000,142.99,143.13,142.53,142.85,6027.03116,142.85
2020-01-07 09:00:00,1578380400000,142.83,143.1,142.38,142.87,11829.13837,142.87
2020-01-07 10:00:00,1578384000000,142.87,143.38,142.81,143.16,12507.15166,143.16
2020-01-07 11:00:00,1578387600000,143.17,143.47,142.5,142.55,10159.06999,142.55
2020-01-07 12:00:00,1578391200000,142.57,142.93,142.45,142.88,6861.21609,142.88
2020-01-07 13:00:00,1578394800000,142.9,143.78,142.6,142.62,16297.3909,142.62
2020-01-07 14:00:00,1578398400000,142.62,142.66,140.72,141.13,32223.76934,141.13
2020-01-07 15:00:00,1578402000000,141.12,141.27,140.11,140.93,18342.12088,140.93
2020-01-07 16:00:00,1578405600000,140.93,141.34,140.51,140.8,9773.35414,140.8
2020-01-07 17:00:00,1578409200000,140.77,140.82,139.0,139.48,25384.66659,139.48
2020-01-07 18:00:00,1578412800000,139.48,141.9,138.76,141.38,35147.7938,141.38
2020-01-07 19:00:00,1578416400000,141.35,142.93,141.08,142.72,21092.57919,142.72
2020-01-07 20:00:00,1578420000000,142.7,143.5,142.39,142.43,28405.61455,142.43
2020-01-07 21:00:00,1578423600000,142.44,144.3,142.39,143.19,35815.9373,143.19
2020-01-07 22:00:00,1578427200000,143.19,144.77,142.97,144.76,20430.28442,144.76
2020-01-07 23:00:00,1578430800000,144.73,145.0,141.99,142.46,20839.91095,142.46
2020-01-08 00:00:00,1578434400000,142.46,143.01,141.31,142.19,15259.41746,142.19
2020-01-08 01:00:00,1578438000000,142.19,143.9,142.19,142.8,11686.54973,142.8
2020-01-08 02:00:00,1578441600000,142.8,147.77,142.71,147.55,58326.91123,147.55
2020-01-08 03:00:00,1578445200000,147.47,147.77,145.31,145.61,48623.69194,145.61
2020-01-08 04:00:00,1578448800000,145.65,146.42,144.13,144.54,28638.99587,144.54
2020-01-08 05:00:00,1578452400000,144.53,145.12,143.68,144.48,23570.19788,144.48
2020-01-08 06:00:00,1578456000000,144.54,145.22,144.54,145.03,15804.67588,145.03
2020-01-08 07:00:00,1578459600000,145.01,145.25,144.55,144.8,10608.28447,144.8
2020-01-08 08:00:00,1578463200000,144.8,145.21,144.6,145.11,13022.09262,145.11
2020-01-08 09:00:00,1578466800000,145.12,145.18,142.68,143.56,24417.21834,143.56
2020-01-08 10:00:00,1578470400000,143.53,144.05,142.97,143.87,14045.60087,143.87
2020-01-08 11:00:00,1578474000000,143.87,144.03,143.0,143.31,10140.50381,143.31
2020-01-08 12:00:00,1578477600000,143.31,144.5,143.04,143.89,9271.76146,143.89
2020-01-08 13:00:00,1578481200000,143.9,144.43,143.43,143.5,7838.99329,143.5
2020-01-08 14:00:00,1578484800000,143.52,143.69,142.11,142.36,16368.85049,142.36
2020-01-08 15:00:00,1578488400000,142.4,143.48,140.51,143.06,40422.56992,143.06
2020-01-08 16:00:00,1578492000000,143.05,143.07,140.87,142.05,25671.61713,142.05
2020-01-08 17:00:00,1578495600000,142.06,142.35,140.39,141.42,25690.24678,141.42
2020-01-08 18:00:00,1578499200000,141.42,141.91,138.0,138.81,69385.91348,138.81
2020-01-08 19:00:00,1578502800000,138.85,139.41,137.71,138.78,32496.93266,138.78
2020-01-08 20:00:00,1578506400000,138.78,140.0,138.54,139.36,14386.36768,139.36
2020-01-08 21:00:00,1578510000000,139.39,139.71,137.84,137.84,19112.05962,137.84
2020-01-08 22:00:00,1578513600000,137.89,139.56,137.03,139.14,31660.10154,139.14
2020-01-08 23:00:00,1578517200000,139.14,139.74,138.56,139.18,11158.10655,139.18
2020-01-09 00:00:00,1578520800000,139.19,140.59,138.6,140.48,8530.37446,140.48
2020-01-09 01:00:00,1578524400000,140.45,141.5,140.02,140.72,11273.50967,140.72
2020-01-09 02:00:00,1578528000000,140.76,140.79,139.5,139.89,16280.92833,139.89
2020-01-09 03:00:00,1578531600000,139.91,141.5,139.68,140.97,12232.6795,140.97
2020-01-09 04:00:00,1578535200000,140.96,141.1,140.28,140.4,7718.66884,140.4
2020-01-09 05:00:00,1578538800000,140.4,140.41,139.43,139.94,11812.87134,139.94
2020-01-09 06:00:00,1578542400000,139.96,140.39,139.57,139.98,8503.78508,139.98
2020-01-09 07:00:00,1578546000000,139.95,139.97,138.69,139.16,12333.27252,139.16
2020-01-09 08:00:00,1578549600000,139.17,139.77,138.72,139.41,12148.23288,139.41
2020-01-09 09:00:00,1578553200000,139.4,140.23,139.23,139.93,13077.66682,139.93
2020-01-09 10:00:00,1578556800000,139.91,140.06,139.03,139.35,8794.50181,139.35
2020-01-09 11:00:00,1578560400000,139.34,139.35,137.99,138.28,22684.45365,138.28
2020-01-09 12:00:00,1578564000000,138.27,139.15,137.68,138.89,14200.3102,138.89
2020-01-09 13:00:00,1578567600000,138.87,138.88,137.75,138.24,10152.71299,138.24
2020-01-09 14:00:00,1578571200000,138.24,138.62,137.93,138.46,8019.8767,138.46
2020-01-09 15:00:00,1578574800000,138.46,138.93,138.2,138.24,11684.54092,138.24
2020-01-09 16:00:00,1578578400000,138.26,138.66,137.75,137.81,10756.65226,137.81
2020-01-09 17:00:00,1578582000000,137.81,138.66,137.79,138.2,7752.26675,138.2
2020-01-09 18:00:00,1578585600000,138.19,138.49,135.3,135.92,35923.30995,135.92
2020-01-09 19:00:00,1578589200000,135.91,136.42,135.6,136.04,19806.3287,136.04
2020-01-09 20:00:00,1578592800000,136.04,136.32,135.66,135.93,9925.73244,135.93
2020-01-09 21:00:00,1578596400000,135.92,138.06,135.86,137.54,20574.38421,137.54
2020-01-09 22:00:00,1578600000000,137.52,139.33,137.31,137.75,46642.30602,137.75
2020-01-09 23:00:00,1578603600000,137.73,137.89,136.63,136.99,17218.50048,136.99
2020-01-10 00:00:00,1578607200000,136.99,138.06,136.8,137.63,10167.28397,137.63
2020-01-10 01:00:00,1578610800000,137.63,138.47,136.06,137.74,17664.79933,137.74
